bs,bs1,bs2,bs2_1,bs3,bs4_1,c10_1,c1_1,c2_1,c2_2,c2_3,c3_1,c3_2,c3_3,c3_4,c3_5,c3_6,c3_7,c3_8,c4,c5,c6_1,c6_2,c6_3,c7,c8_1,c8_2,c8_3,c8_4,c8_5,c8_6,c9_1,c_total,ct10,ct12,ct13,ct14,ct15_1,ct16,ct1_1,ct1_2,ct1_3,ct1_4,ct2_1,ct2_2,ct2_3,ct3_1,ct3_2,ct3_3,ct3_4,ct4,ct5,ct6_1,ct7_1,ct7_2,ct8_1,ct8_2,ct8_3,ct9_1,f1_1,f2_1,f2_2,f3_1,f3_2,f3_3,f3_4,f3_5,f4_1,f5,f6_1,l1_1,l1_2,l1_3,l1_4,l1_5,l1_6,l2_1,l2_2,l2_3,l2_4,l3_1,l3_2,l3_3,l3_4,l4_1,l4_2,l4_3,l4_4,l_total,c_total,ct_total,f_total,l_sum,c_sum,ct_sum,f_sum,l_avg,c_avg,ct_avg,f_avg,total
0,0,0,0,0,0,0.67,0.67,0.67,0.5,0.83,0.83,0.67,1,0.5,0.83,0.83,0.83,0.83,0,0.25,1,1,1,0,1,1,0.83,0.83,0.67,1,1,26,0.29,0.22,0,0.5,0.5,0,0.17,0.17,1,0,1,0.5,0.17,0.83,0.83,0.83,0.83,0.33,0,0,1,0.83,0.67,0.67,0.83,0.5,0.17,0,0.17,0.83,0.83,0.83,1,0.83,0.67,0.75,0.17,0.5,0.33,0.83,0.83,0.83,0.83,1,0.83,1,0.83,0.17,0.5,0.83,1,0.5,0.5,0.5,0.67,18,26,26,11,12.48,19.24,12.67,6.25,17.33,18.50,12.18,14.20,50.64
1,10,2,1,0,5,0.67,0.67,1,0.5,0.83,1,0.83,0.83,1,0.33,0.83,0.67,0.67,1,1,1,1,1,0,1,1,1,1,0.5,1,0.83,26,1,0.44,1,0.5,1,0,1,0.83,1,1,0.83,1,1,1,1,0.67,1,0.17,,0.17,0.83,0.83,0.83,0.83,0.83,0.67,0.83,0,0.5,1,0.83,1,1,1,0.67,0.25,0.17,0.5,0.67,0.83,0.67,0.83,0.5,0.83,0.67,0.83,0.83,0.83,1,1,1,1,0.83,0.83,1,18,26,26,11,14.65,21.16,19.43,7.25,20.35,20.35,18.68,16.48,62.49
1,10,2,2,0,5,0.67,0.67,1,0.5,0.83,1,0.83,0.83,1,0.33,0.83,0.67,0.67,1,1,1,1,1,0,1,1,1,1,0.5,1,0.83,26,1,0.44,1,0.5,1,0,1,0.83,1,1,0.83,1,1,1,1,0.67,1,0.17,,0.17,0.83,0.83,0.83,0.83,0.83,0.67,0.83,0,0.5,1,0.83,1,1,1,0.67,0.25,0.17,0.5,0.67,0.83,0.67,0.83,0.5,0.83,0.67,0.83,0.83,0.83,1,1,1,1,0.83,0.83,1,18,26,26,11,14.65,21.16,19.43,7.25,20.35,20.35,18.68,16.48,62.49
1,4,1,1,0,4,1,0.5,0.83,0.33,0.67,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1,0.5,1,1,1,0,1,1,1,1,1,1,1,26,0.71,0.44,1,1,0.83,0,1,1,1,1,1,1,1,1,1,0.83,1,0.5,,0.17,1,1,1,1,1,0.17,0.67,0.17,0.17,0.83,0.83,0.83,0.83,0.83,0.67,0.5,0.17,0.33,0.67,1,0.67,0.67,0.33,1,0.67,0.67,1,0.33,0.67,0.5,0.67,0.67,0.67,0.83,0.67,18,26,26,11,12.02,21.47,20.65,6.5,16.69,20.64,19.86,14.77,60.64
1,8,3,1,1,5,0.67,0.83,1,0.83,0.83,0.83,0.83,0.67,0.67,1,0.83,1,0.83,0,0.25,1,1,1,0,1,1,1,1,0.5,1,1,26,1,1,1,0.5,1,0,0.83,0.83,0.83,0.5,0.83,0.83,0.83,0.83,0.67,0.67,0.83,0.33,0,0.17,1,0.5,1,1,1,0.83,1,1,1,0.83,0.83,0.83,0.67,0.83,0.83,0.25,0.17,0.17,0.33,0.83,0.83,0,0.83,0.67,0.83,1,0.67,0.33,0.33,0.5,0.83,1,1,0.83,1,18,26,26,11,11.98,20.57,18.81,8.24,16.64,19.78,18.09,18.73,59.60
1,8,3,2,1,5,0.67,0.83,1,0.83,0.83,0.83,0.83,0.67,0.67,1,0.83,1,0.83,0,0.25,1,1,1,0,1,1,1,1,0.5,1,1,26,1,1,1,0.5,1,0,0.83,0.83,0.83,0.5,0.83,0.83,0.83,0.83,0.67,0.67,0.83,0.33,0,0.17,1,0.5,1,1,1,0.83,1,1,1,0.83,0.83,0.83,0.67,0.83,0.83,0.25,0.17,0.17,0.33,0.83,0.83,0,0.83,0.67,0.83,1,0.67,0.33,0.33,0.5,0.83,1,1,0.83,1,18,26,26,11,11.98,20.57,18.81,8.24,16.64,19.78,18.09,18.73,59.60
1,8,3,3,1,5,0.67,0.83,1,0.83,0.83,0.83,0.83,0.67,0.67,1,0.83,1,0.83,0,0.25,1,1,1,0,1,1,1,1,0.5,1,1,26,1,1,1,0.5,1,0,0.83,0.83,0.83,0.5,0.83,0.83,0.83,0.83,0.67,0.67,0.83,0.33,0,0.17,1,0.5,1,1,1,0.83,1,1,1,0.83,0.83,0.83,0.67,0.83,0.83,0.25,0.17,0.17,0.33,0.83,0.83,0,0.83,0.67,0.83,1,0.67,0.33,0.33,0.5,0.83,1,1,0.83,1,18,26,26,11,11.98,20.57,18.81,8.24,16.64,19.78,18.09,18.73,59.60
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.83,1,0.83,1,0.83,1,0.5,1,1,1,0,1,1,1,1,1,1,1,26,0.57,0.22,0.75,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,,0.5,0,0,0,0,0,0.83,1,1,0.5,1,1,1,1,1,1,1,0.5,0.5,0.5,1,0.33,1,0.5,0.5,0.83,0.5,1,1,1,1,1,1,1,1,1,18,26,26,11,14.66,23.99,4.7,10,20.36,23.07,4.52,22.73,53.35
1,5,1,1,0,7,1,1,1,1,1,0.83,0.83,0.83,0.5,0.17,0.67,0.33,0.67,0.25,0.75,1,1,0.83,0,1,1,1,0,1,1,1,26,0.14,0.11,0.25,0.5,1,,1,1,0.5,0.83,0.67,1,1,1,0.83,0.5,1,,0,0,0.83,0.83,0.67,0.83,0.83,1,1,1,1,0.83,1,0.83,0.83,1,1,1,0.5,0.83,1,0.67,1,0.83,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.33,0.5,1,1,1,1,18,26,26,11,12.66,19.66,16.32,9.99,17.58,18.90,15.69,22.70,58.63
1,11,2,1,1,7,1,1,0.83,0.83,0.83,1,1,0.83,0.67,0.67,0.67,0.67,0.83,0.5,0.75,1,0.83,1,0,1,1,1,0.83,1,1,1,26,0.57,0.22,1,0.5,1,0,0.67,0.67,0.83,0.5,0.83,0.5,0.5,0.83,1,0.83,1,0,,0,1,0.67,0.67,0.67,0.67,0.83,1,1,0.83,0.83,0.83,0.83,0.83,0.83,1,1,1,0.5,0.67,0.5,0.67,0.33,0.5,0.5,0.67,0.67,0.67,0.83,1,0.83,0.83,0.67,0.67,0.83,0.67,18,26,26,11,12.01,21.74,15.96,9.98,16.68,20.90,15.35,22.68,59.69
